Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 02:05:50.158,114489.8,0.001,BTCUSDT
2025-09-30 02:05:50.158,114489.6,0.002,BTCUSDT
2025-09-30 02:05:50.158,114489.6,0.001,BTCUSDT
2025-09-30 02:05:50.165,114489.0,0.002,BTCUSDT
2025-09-30 02:05:50.165,114489.0,0.025,BTCUSDT
2025-09-30 02:05:50.165,114489.0,0.001,BTCUSDT
2025-09-30 02:05:50.168,114488.8,0.088,BTCUSDT
2025-09-30 02:05:50.168,114488.5,0.002,BTCUSDT
2025-09-30 02:05:50.168,114488.4,0.002,BTCUSDT
2025-09-30 02:05:50.168,114488.4,0.001,BTCUSDT
2025-09-30 02:05:50.168,114487.9,0.003,BTCUSDT
2025-09-30 02:05:50.168,114487.8,0.002,BTCUSDT
2025-09-30 02:05:50.168,114487.2,0.002,BTCUSDT
2025-09-30 02:05:50.168,114487.2,0.001,BTCUSDT
2025-09-30 02:05:50.168,114487.2,0.002,BTCUSDT
2025-09-30 02:05:50.168,114487.2,0.001,BTCUSDT
2025-09-30 02:05:50.168,114487.2,0.001,BTCUSDT
2025-09-30 02:05:50.168,114487.2,0.005,BTCUSDT
2025-09-30 02:05:50.168,114487.2,0.001,BTCUSDT
2025-09-30 02:05:50.168,114487.2,0.002,BTCUSDT
2025-09-30 02:05:50.168,114487.2,0.001,BTCUSDT
2025-09-30 02:05:50.168,114487.2,0.001,BTCUSDT
2025-09-30 02:05:50.168,114487.2,0.001,BTCUSDT
2025-09-30 02:05:50.168,114487.2,0.001,BTCUSDT
2025-09-30 02:05:50.168,114486.9,0.001,BTCUSDT
2025-09-30 02:05:50.168,114486.6,0.002,BTCUSDT
2025-09-30 02:05:50.168,114486.0,0.002,BTCUSDT
2025-09-30 02:05:50.168,114486.0,0.005,BTCUSDT
2025-09-30 02:05:50.168,114485.5,0.001,BTCUSDT
2025-09-30 02:05:50.168,114485.5,0.028,BTCUSDT
2025-09-30 02:05:50.168,114485.4,0.001,BTCUSDT
2025-09-30 02:05:50.168,114485.4,0.002,BTCUSDT
2025-09-30 02:05:50.168,114485.3,0.002,BTCUSDT
2025-09-30 02:05:50.171,114485.0,0.001,BTCUSDT
2025-09-30 02:05:50.171,114485.0,0.002,BTCUSDT
2025-09-30 02:05:50.171,114485.0,0.001,BTCUSDT
2025-09-30 02:05:50.171,114484.9,0.008,BTCUSDT
2025-09-30 02:05:50.176,114485.0,0.001,BTCUSDT
2025-09-30 02:05:50.180,114484.9,0.001,BTCUSDT
2025-09-30 02:05:50.180,114484.9,0.001,BTCUSDT
2025-09-30 02:05:50.180,114484.9,0.001,BTCUSDT
2025-09-30 02:05:50.180,114484.9,0.002,BTCUSDT
2025-09-30 02:05:50.272,114484.9,0.01,BTCUSDT
2025-09-30 02:05:50.339,114484.8,0.002,BTCUSDT
2025-09-30 02:05:50.339,114484.8,0.001,BTCUSDT
2025-09-30 02:05:50.339,114484.8,0.001,BTCUSDT
2025-09-30 02:05:50.339,114484.8,0.001,BTCUSDT
2025-09-30 02:05:50.339,114484.8,0.029,BTCUSDT
2025-09-30 02:05:50.340,114484.9,0.012,BTCUSDT
2025-09-30 02:05:50.401,114484.9,0.039,BTCUSDT
2025-09-30 02:05:50.489,114484.8,0.034,BTCUSDT
2025-09-30 02:05:50.547,114484.8,0.024,BTCUSDT
2025-09-30 02:05:50.547,114484.8,0.002,BTCUSDT
2025-09-30 02:05:50.547,114484.8,0.032,BTCUSDT
2025-09-30 02:05:50.547,114484.8,0.001,BTCUSDT
2025-09-30 02:05:50.547,114484.8,0.087,BTCUSDT
2025-09-30 02:05:50.547,114484.8,0.002,BTCUSDT
2025-09-30 02:05:50.547,114484.8,0.002,BTCUSDT
2025-09-30 02:05:50.547,114484.7,0.001,BTCUSDT
2025-09-30 02:05:50.547,114484.7,0.001,BTCUSDT
